KUNDEN_NR,BRUTTOGEHALT_MONAT,NETTOGEHALT_MONAT,BRUTTOEINKOMMEN_JAHR,NETTOEINKOMMEN_JAHR,SONSTIGE_EINKUENFTE,MIETEINNAHMEN_MONAT,KAPITALERTRAGE_JAHR,DIVIDENDEN_JAHR,UNTERHALT_EINGEHEND_MONAT,KINDERGELD_MONAT,RENTE_MONAT,BONUS_VORJAHR,PROVISION_VORJAHR,NEBENVERDIENST_MONAT,EINKOMMENSNACHWEIS_DATUM,EINKOMMENSSTUFE,STEUERERSTATTUNG_VORJAHR,MONATLICHE_AUSGABEN,WARMMIETE_MONAT,KREDITRATE_MONAT,VERSICHERUNGSKOSTEN_MONAT,LEBENSHALTUNGSKOSTEN_MONAT,SPARQUOTE_PROZENT,GESAMTVERMOEGEN,GESAMTSCHULDEN
KD001,11202.17,6711.88,134426.04,80542.56,797.86,207.50,1480.55,1511.56,430.55,38.21,191.98,5443.85,1789.23,230.86,02.09.2024,OBERES_MITTEL,1322.79,3907.45,1963.33,17.22,302.25,1554.39,16.1,134145.77,96144.27
KD002,4234.63,2457.73,50815.56,29492.76,283.44,616.65,2591.51,108.34,326.73,161.54,0.00,484.90,2184.64,480.36,22.04.2023,UNTERES_MITTEL,478.98,2516.11,738.31,275.23,211.92,1824.28,2.3,404203.10,128395.03
KD003,12097.92,8423.53,145175.04,101082.36,350.55,814.83,907.55,1967.71,403.55,132.24,0.00,5342.91,1663.81,559.05,17.04.2023,UNTERES_MITTEL,661.16,3647.08,1762.11,233.17,148.61,894.88,10.3,344061.07,127936.92
KD004,12901.90,8793.06,154822.80,105516.72,86.72,651.85,2185.64,627.35,303.10,127.86,0.00,3081.56,1729.76,152.83,26.12.2024,OBERES_MITTEL,4.23,3761.84,1415.37,1079.14,309.68,1538.88,10.9,35916.93,99635.65
KD005,10749.15,6621.89,128989.80,79462.68,360.06,1127.67,2519.59,554.62,388.84,121.15,0.00,1913.97,1319.62,428.13,29.08.2023,MITTLERES_MITTEL,839.62,3657.69,636.98,226.25,184.06,813.93,6.4,208019.08,49632.21
KD006,4799.28,3025.55,57591.36,36306.60,771.78,162.15,77.04,623.91,338.67,239.54,475.99,5720.12,227.99,414.37,04.10.2024,UNTERES_MITTEL,254.75,3271.94,1945.50,900.62,92.37,1977.38,23.5,174254.68,64256.70
KD007,9911.50,5763.72,118938.00,69164.64,95.64,803.80,2286.57,370.30,108.19,121.05,0.00,5796.68,2929.82,314.78,17.10.2023,NIEDRIG,2081.57,1747.99,1113.50,453.40,297.81,777.22,1.4,28208.48,43820.50
KD008,12523.55,8126.38,150282.60,97516.56,400.38,740.69,241.33,79.72,216.01,80.58,0.00,2002.94,273.98,577.15,12.08.2024,HOCH,2376.97,3998.63,1642.88,404.27,64.08,1658.78,14.1,326103.24,137410.92
KD009,9763.50,6238.95,117162.00,74867.40,226.27,447.83,1760.81,1997.80,244.82,37.15,0.00,4308.64,1035.37,331.15,10.07.2024,OBERES_MITTEL,1138.36,1829.69,820.71,1046.25,250.13,926.99,23.3,22780.00,111705.77
KD010,13865.60,9360.49,166387.20,112325.88,365.47,453.18,2998.12,1706.67,53.33,95.34,0.00,2871.67,887.62,419.57,23.01.2023,OBERES_MITTEL,686.20,2610.97,1665.86,1117.00,67.17,1448.97,14.9,452173.49,42929.12
KD011,4940.45,2978.18,59285.40,35738.16,523.94,1250.54,1846.96,1878.11,139.87,172.57,0.00,1738.16,1334.09,141.67,07.01.2024,NIEDRIG,2452.32,1975.47,2032.88,967.24,71.19,986.23,29.0,474556.38,123628.66
KD012,2986.71,1851.82,35840.52,22221.84,710.47,620.72,2482.26,797.46,364.81,78.14,375.03,2039.12,2860.78,412.09,30.04.2024,NIEDRIG,228.06,1073.17,1234.19,1116.88,180.43,782.16,1.8,478355.69,84252.51
KD013,6501.74,4290.11,78020.88,51481.32,316.21,898.99,23.06,602.84,105.62,34.31,0.00,2044.16,984.37,4.64,16.03.2024,UNTERES_MITTEL,322.96,2504.26,891.19,838.09,283.82,1095.83,11.9,371278.62,65432.94
KD014,9078.81,5890.40,108945.72,70684.80,443.45,1187.73,2687.63,899.47,404.91,162.96,0.00,2572.21,1426.89,90.52,05.03.2023,OBERES_MITTEL,258.75,3677.21,1083.84,1071.47,226.59,841.58,7.4,219441.38,65913.27
KD015,6725.08,4128.84,80700.96,49546.08,622.50,754.36,1255.98,324.12,99.85,151.17,0.00,6984.02,156.54,288.35,16.01.2024,HOCH,2335.73,3076.48,1377.05,187.02,79.36,824.44,13.5,257163.02,124657.01
KD016,12661.71,8757.56,151940.52,105090.72,784.66,717.80,546.83,269.71,358.02,235.90,0.00,295.87,604.77,474.67,12.02.2023,MITTLERES_MITTEL,2333.43,2449.23,2181.51,814.55,138.66,1654.61,5.7,179130.11,117126.24
KD017,3843.91,2399.22,46126.92,28790.64,563.23,321.86,1835.63,1387.96,499.31,50.04,0.00,1085.83,222.16,103.59,31.12.2024,OBERES_MITTEL,2493.16,3393.64,2144.85,1479.86,283.74,1593.36,16.5,145890.78,44993.50
KD018,8301.57,4935.81,99618.84,59229.72,643.75,1027.49,892.30,145.95,29.96,109.90,0.00,3874.01,612.07,364.00,17.11.2023,MITTLERES_MITTEL,1835.50,3554.49,2158.14,196.15,179.69,1386.31,9.6,233769.81,40120.75
KD019,2987.02,2071.34,35844.24,24856.08,591.46,448.85,1009.12,1656.58,266.17,177.18,0.00,2398.32,2447.25,221.01,20.11.2024,NIEDRIG,2449.75,2667.85,1854.48,1087.99,290.82,637.31,14.2,483568.28,117435.60
KD020,10768.24,6999.60,129218.88,83995.20,535.87,796.56,1913.83,104.98,206.65,179.34,0.00,804.36,2312.30,3.11,17.07.2024,UNTERES_MITTEL,1017.27,3792.10,1993.28,716.17,119.81,1949.48,9.6,323303.06,136190.54
KD021,8607.77,5739.44,103293.24,68873.28,382.55,682.47,2966.51,747.25,350.97,228.20,0.00,6058.80,2405.98,495.36,11.09.2023,HOCH,2182.84,1061.98,1259.47,1055.65,77.34,1389.84,1.9,274276.98,75823.06
KD022,4308.63,2940.81,51703.56,35289.72,478.23,1054.93,146.03,1481.08,201.13,58.58,0.00,1738.15,2591.19,33.87,30.05.2024,MITTLERES_MITTEL,585.40,3732.47,1479.39,866.21,320.39,1745.74,7.1,438252.90,147854.33
KD023,5885.81,3456.82,70629.72,41481.84,642.25,1083.62,2284.89,640.47,101.56,78.23,0.00,365.72,2592.25,444.75,17.01.2023,MITTLERES_MITTEL,1383.28,2668.90,1724.02,442.79,118.67,922.03,17.1,123619.28,82596.38
KD024,11254.98,7187.82,135059.76,86253.84,676.26,967.36,993.81,1954.66,486.92,223.70,0.00,7353.22,689.30,540.76,09.12.2024,HOCH,1188.75,949.00,626.39,1388.38,364.76,1388.91,1.0,464454.41,47172.70
KD025,13174.95,8114.63,158099.40,97375.56,135.60,403.38,805.22,291.87,83.60,68.99,0.00,2398.02,2348.00,216.67,10.09.2023,OBERES_MITTEL,1484.52,1425.75,681.85,456.99,382.09,1065.10,18.6,402234.15,49431.26
