ACCT_NUM,INS_START_DT,Cover_AMT,INS_TENOR,CURR_PREM_AMT,INS_TYPE
100001,2023-01-01,68427.68,60,316.78,8
100002,2023-01-01,189920.39,60,758.72,3
100003,2023-01-01,195817.05,180,789.25,3
100004,2023-01-01,135352.66,180,248.61,8
100005,2023-01-01,175762.28,120,967.93,8
100006,2023-01-01,153500.39,180,281.04,7
100007,2023-01-01,85808.54,180,684.89,7
100008,2023-01-01,180926.68,120,208.9,3
100009,2023-01-01,22164.92,60,629.48,3
100010,2023-01-01,121803.62,60,163.89,8
100011,2023-01-01,21186.02,60,914.88,7
100012,2023-01-01,23462.9,60,350.63,7
100013,2023-01-01,50704.99,60,751.02,8
100014,2023-01-01,119480.21,60,806.16,7
100015,2023-01-01,46177.88,60,693.08,7
100016,2023-01-01,90479.94,120,877.45,3
100017,2023-01-01,137939.26,180,188.58,7
100018,2023-01-01,148360.58,60,323.79,3
100019,2023-01-01,111894.29,60,479.69,7
100020,2023-01-01,97899.33,60,498.82,8
100021,2023-01-01,28602.66,180,999.35,3
100022,2023-01-01,194109.29,60,249.68,7
100023,2023-01-01,101458.1,120,912.2,3
100024,2023-01-01,82004.89,120,338.68,7
100025,2023-01-01,64197.35,180,961.59,99
